Units,Maneuvers,Probability,Fill,Avg time,Min Time,Max Time,Solution type,Avg solution,Avg iterations,Avg nodes,Avg cuts Clique,Avg cuts Cover,Avg cuts Disjunctive,Avg cuts Flow cover,Avg cuts Gomory,Avg cuts GUB,Avg cuts zero-half,Avg cuts lift and projects,Total avg cuts
10.0,3.0,1.0,0.39999999999999997,0.0055999279022216795,0.004999399185180664,0.006001472473144531,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,1.0,0.5,0.006400680541992188,0.005996227264404297,0.0070018768310546875,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,1.0,0.5999999999999999,0.007194375991821289,0.005999088287353516,0.010000228881835938,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,1.0,0.7000000000000001,0.007100319862365723,0.0060002803802490234,0.008002042770385742,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,1.0,0.7999999999999999,0.00760042667388916,0.006998777389526367,0.00899815559387207,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,1.0,0.9000000000000001,0.007905173301696777,0.006999969482421875,0.009053230285644531,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.5999999999999999,0.09999999999999999,0.010908937454223633,0.007002830505371094,0.027001619338989258,integer optimal solution,2.1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.5999999999999999,0.19999999999999998,0.03900160789489746,0.011003971099853516,0.10300040245056152,integer optimal solution,3.0,63.4,0.0,0.7,0.0,0.0,0.0,0.7,0.0,3.7,0.4,5.5
10.0,5.0,0.6,0.3,0.023375988006591797,0.01099848747253418,0.0969991683959961,integer optimal solution,2.25,22.75,0.0,0.375,0.0,0.0,0.0,0.375,0.0,1.375,0.0,2.125
10.0,5.0,0.6,0.3,0.012500882148742676,0.009998321533203125,0.015003442764282227,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
